model,lab,frame,scenario_id,iteration,question,option_index,weight
deepseek_v4,DeepSeek,collectivist,auth_1,0,judgment,0,0.2
deepseek_v4,DeepSeek,collectivist,auth_1,0,judgment,1,0.5
deepseek_v4,DeepSeek,collectivist,auth_1,0,judgment,2,0.3
deepseek_v4,DeepSeek,collectivist,auth_1,0,reasoning,0,0.3
deepseek_v4,DeepSeek,collectivist,auth_1,0,reasoning,1,0.4
deepseek_v4,DeepSeek,collectivist,auth_1,0,reasoning,2,0.2
deepseek_v4,DeepSeek,collectivist,auth_1,0,reasoning,3,0.1
deepseek_v4,DeepSeek,collectivist,auth_10,0,judgment,0,0.1
deepseek_v4,DeepSeek,collectivist,auth_10,0,judgment,1,0.6
deepseek_v4,DeepSeek,collectivist,auth_10,0,judgment,2,0.3
deepseek_v4,DeepSeek,collectivist,auth_10,0,reasoning,0,0.15
deepseek_v4,DeepSeek,collectivist,auth_10,0,reasoning,1,0.55
deepseek_v4,DeepSeek,collectivist,auth_10,0,reasoning,2,0.3
deepseek_v4,DeepSeek,collectivist,auth_11,0,judgment,0,0.25
deepseek_v4,DeepSeek,collectivist,auth_11,0,judgment,1,0.1
deepseek_v4,DeepSeek,collectivist,auth_11,0,judgment,2,0.65
deepseek_v4,DeepSeek,collectivist,auth_11,0,reasoning,0,0.35
deepseek_v4,DeepSeek,collectivist,auth_11,0,reasoning,1,0.15
deepseek_v4,DeepSeek,collectivist,auth_11,0,reasoning,2,0.5
deepseek_v4,DeepSeek,collectivist,auth_12,0,judgment,0,0.3
deepseek_v4,DeepSeek,collectivist,auth_12,0,judgment,1,0.1
deepseek_v4,DeepSeek,collectivist,auth_12,0,judgment,2,0.6
deepseek_v4,DeepSeek,collectivist,auth_12,0,reasoning,0,0.4
deepseek_v4,DeepSeek,collectivist,auth_12,0,reasoning,1,0.1
deepseek_v4,DeepSeek,collectivist,auth_12,0,reasoning,2,0.5
deepseek_v4,DeepSeek,collectivist,auth_2,0,judgment,0,0.1
deepseek_v4,DeepSeek,collectivist,auth_2,0,judgment,1,0.5
deepseek_v4,DeepSeek,collectivist,auth_2,0,judgment,2,0.4
deepseek_v4,DeepSeek,collectivist,auth_2,0,reasoning,0,0.05
deepseek_v4,DeepSeek,collectivist,auth_2,0,reasoning,1,0.45
deepseek_v4,DeepSeek,collectivist,auth_2,0,reasoning,2,0.25
deepseek_v4,DeepSeek,collectivist,auth_2,0,reasoning,3,0.25
deepseek_v4,DeepSeek,collectivist,auth_3,0,judgment,0,0.1
deepseek_v4,DeepSeek,collectivist,auth_3,0,judgment,1,0.4
deepseek_v4,DeepSeek,collectivist,auth_3,0,judgment,2,0.5
deepseek_v4,DeepSeek,collectivist,auth_3,0,reasoning,0,0.05
deepseek_v4,DeepSeek,collectivist,auth_3,0,reasoning,1,0.7
deepseek_v4,DeepSeek,collectivist,auth_3,0,reasoning,2,0.25
deepseek_v4,DeepSeek,collectivist,auth_4,0,judgment,0,0.1
deepseek_v4,DeepSeek,collectivist,auth_4,0,judgment,1,0.3
deepseek_v4,DeepSeek,collectivist,auth_4,0,judgment,2,0.6
deepseek_v4,DeepSeek,collectivist,auth_4,0,reasoning,0,0.05
deepseek_v4,DeepSeek,collectivist,auth_4,0,reasoning,1,0.55
deepseek_v4,DeepSeek,collectivist,auth_4,0,reasoning,2,0.4
deepseek_v4,DeepSeek,collectivist,auth_5,0,judgment,0,0.45
deepseek_v4,DeepSeek,collectivist,auth_5,0,judgment,1,0.0
deepseek_v4,DeepSeek,collectivist,auth_5,0,judgment,2,0.55
deepseek_v4,DeepSeek,collectivist,auth_5,0,reasoning,0,0.6
deepseek_v4,DeepSeek,collectivist,auth_5,0,reasoning,1,0.0
deepseek_v4,DeepSeek,collectivist,auth_5,0,reasoning,2,0.4
deepseek_v4,DeepSeek,collectivist,auth_6,0,judgment,0,0.25
deepseek_v4,DeepSeek,collectivist,auth_6,0,judgment,1,0.05
deepseek_v4,DeepSeek,collectivist,auth_6,0,judgment,2,0.7
deepseek_v4,DeepSeek,collectivist,auth_6,0,reasoning,0,0.3
deepseek_v4,DeepSeek,collectivist,auth_6,0,reasoning,1,0.05
deepseek_v4,DeepSeek,collectivist,auth_6,0,reasoning,2,0.65
deepseek_v4,DeepSeek,collectivist,auth_7,0,judgment,0,0.05
deepseek_v4,DeepSeek,collectivist,auth_7,0,judgment,1,0.3
deepseek_v4,DeepSeek,collectivist,auth_7,0,judgment,2,0.65
deepseek_v4,DeepSeek,collectivist,auth_7,0,reasoning,0,0.15
deepseek_v4,DeepSeek,collectivist,auth_7,0,reasoning,1,0.35
