model,lab,frame,subset,axis_id,axis_name,score,run_sd
deepseek_v4,DeepSeek,collectivist,b12,moral_agent,Moral Agent,-0.7227,0.0491
deepseek_v4,DeepSeek,collectivist,b12,authority,Authority,-0.2987,0.1523
deepseek_v4,DeepSeek,collectivist,b12,domain_boundary,Moral Domain,-0.8464,0.0682
deepseek_v4,DeepSeek,collectivist,b12,scope,Obligation Scope,-0.4284,0.1083
deepseek_v4,DeepSeek,collectivist,all48,moral_agent,Moral Agent,-0.6963,0.0262
deepseek_v4,DeepSeek,collectivist,all48,authority,Authority,-0.2329,0.0581
deepseek_v4,DeepSeek,collectivist,all48,domain_boundary,Moral Domain,-0.7707,0.0273
deepseek_v4,DeepSeek,collectivist,all48,scope,Obligation Scope,-0.2786,0.0195
deepseek_v4,DeepSeek,egalitarian,b12,moral_agent,Moral Agent,0.3217,0.1598
deepseek_v4,DeepSeek,egalitarian,b12,authority,Authority,0.5057,0.1693
deepseek_v4,DeepSeek,egalitarian,b12,domain_boundary,Moral Domain,0.4179,0.0529
deepseek_v4,DeepSeek,egalitarian,b12,scope,Obligation Scope,0.7661,0.0281
deepseek_v4,DeepSeek,egalitarian,all48,moral_agent,Moral Agent,0.2425,0.0445
deepseek_v4,DeepSeek,egalitarian,all48,authority,Authority,0.357,0.0669
deepseek_v4,DeepSeek,egalitarian,all48,domain_boundary,Moral Domain,0.0948,0.044
deepseek_v4,DeepSeek,egalitarian,all48,scope,Obligation Scope,0.556,0.0255
deepseek_v4,DeepSeek,hierarchical,b12,moral_agent,Moral Agent,-0.6124,0.0843
deepseek_v4,DeepSeek,hierarchical,b12,authority,Authority,-0.861,0.0383
deepseek_v4,DeepSeek,hierarchical,b12,domain_boundary,Moral Domain,-0.9049,0.0303
deepseek_v4,DeepSeek,hierarchical,b12,scope,Obligation Scope,-0.4105,0.1725
deepseek_v4,DeepSeek,hierarchical,all48,moral_agent,Moral Agent,-0.7343,0.0243
deepseek_v4,DeepSeek,hierarchical,all48,authority,Authority,-0.7944,0.0242
deepseek_v4,DeepSeek,hierarchical,all48,domain_boundary,Moral Domain,-0.6228,0.0922
deepseek_v4,DeepSeek,hierarchical,all48,scope,Obligation Scope,-0.5225,0.0924
deepseek_v4,DeepSeek,individualist,b12,moral_agent,Moral Agent,0.5893,0.0894
deepseek_v4,DeepSeek,individualist,b12,authority,Authority,0.6823,0.0329
deepseek_v4,DeepSeek,individualist,b12,domain_boundary,Moral Domain,0.7612,0.0112
deepseek_v4,DeepSeek,individualist,b12,scope,Obligation Scope,0.2789,0.0643
deepseek_v4,DeepSeek,individualist,all48,moral_agent,Moral Agent,0.6694,0.0316
deepseek_v4,DeepSeek,individualist,all48,authority,Authority,0.5297,0.0193
deepseek_v4,DeepSeek,individualist,all48,domain_boundary,Moral Domain,0.7008,0.0175
deepseek_v4,DeepSeek,individualist,all48,scope,Obligation Scope,-0.1593,0.014
deepseek_v4,DeepSeek,irrelevant,b12,moral_agent,Moral Agent,-0.4753,0.0661
deepseek_v4,DeepSeek,irrelevant,b12,authority,Authority,-0.2,0.081
deepseek_v4,DeepSeek,irrelevant,b12,domain_boundary,Moral Domain,-0.7248,0.0257
deepseek_v4,DeepSeek,irrelevant,b12,scope,Obligation Scope,0.1371,0.0949
deepseek_v4,DeepSeek,irrelevant,all48,moral_agent,Moral Agent,-0.4968,0.0267
deepseek_v4,DeepSeek,irrelevant,all48,authority,Authority,-0.0776,0.0256
deepseek_v4,DeepSeek,irrelevant,all48,domain_boundary,Moral Domain,-0.5713,0.0368
deepseek_v4,DeepSeek,irrelevant,all48,scope,Obligation Scope,-0.0818,0.0221
deepseek_v4,DeepSeek,neutral,b12,moral_agent,Moral Agent,-0.0449,0.0547
deepseek_v4,DeepSeek,neutral,b12,authority,Authority,0.204,0.0382
deepseek_v4,DeepSeek,neutral,b12,domain_boundary,Moral Domain,0.3458,0.0325
deepseek_v4,DeepSeek,neutral,b12,scope,Obligation Scope,0.3625,0.0689
deepseek_v4,DeepSeek,neutral,all48,moral_agent,Moral Agent,0.0337,0.0278
deepseek_v4,DeepSeek,neutral,all48,authority,Authority,0.1258,0.0126
deepseek_v4,DeepSeek,neutral,all48,domain_boundary,Moral Domain,0.0475,0.0259
deepseek_v4,DeepSeek,neutral,all48,scope,Obligation Scope,0.1566,0.0362
deepseek_v4,DeepSeek,nonsense_color,b12,moral_agent,Moral Agent,-0.4577,0.0711
deepseek_v4,DeepSeek,nonsense_color,b12,authority,Authority,-0.2153,0.0771
deepseek_v4,DeepSeek,nonsense_color,b12,domain_boundary,Moral Domain,-0.5673,0.1561
deepseek_v4,DeepSeek,nonsense_color,b12,scope,Obligation Scope,0.0112,0.1301
deepseek_v4,DeepSeek,nonsense_color,all48,moral_agent,Moral Agent,-0.3309,0.0361
deepseek_v4,DeepSeek,nonsense_color,all48,authority,Authority,-0.1447,0.0705
deepseek_v4,DeepSeek,nonsense_color,all48,domain_boundary,Moral Domain,-0.6814,0.0191
deepseek_v4,DeepSeek,nonsense_color,all48,scope,Obligation Scope,-0.1496,0.0893
deepseek_v4,DeepSeek,nonsense_geometry,b12,moral_agent,Moral Agent,-0.4668,0.0517
deepseek_v4,DeepSeek,nonsense_geometry,b12,authority,Authority,0.0515,0.0425
deepseek_v4,DeepSeek,nonsense_geometry,b12,domain_boundary,Moral Domain,-0.7211,0.1183
deepseek_v4,DeepSeek,nonsense_geometry,b12,scope,Obligation Scope,0.1822,0.0862
deepseek_v4,DeepSeek,nonsense_geometry,all48,moral_agent,Moral Agent,-0.3548,0.0739
deepseek_v4,DeepSeek,nonsense_geometry,all48,authority,Authority,-0.0152,0.0417
deepseek_v4,DeepSeek,nonsense_geometry,all48,domain_boundary,Moral Domain,-0.6644,0.0177
deepseek_v4,DeepSeek,nonsense_geometry,all48,scope,Obligation Scope,0.084,0.0362
gpt55,OpenAI,collectivist,b12,moral_agent,Moral Agent,-0.5533,0.0311
gpt55,OpenAI,collectivist,b12,authority,Authority,-0.1447,0.0403
gpt55,OpenAI,collectivist,b12,domain_boundary,Moral Domain,-0.6094,0.0269
gpt55,OpenAI,collectivist,b12,scope,Obligation Scope,-0.2126,0.0115
gpt55,OpenAI,collectivist,all48,moral_agent,Moral Agent,-0.446,0.0102
gpt55,OpenAI,collectivist,all48,authority,Authority,-0.13,0.0176
gpt55,OpenAI,collectivist,all48,domain_boundary,Moral Domain,-0.5739,0.0051
gpt55,OpenAI,collectivist,all48,scope,Obligation Scope,-0.0872,0.0292
gpt55,OpenAI,egalitarian,b12,moral_agent,Moral Agent,-0.1069,0.022
gpt55,OpenAI,egalitarian,b12,authority,Authority,0.2377,0.0168
gpt55,OpenAI,egalitarian,b12,domain_boundary,Moral Domain,0.3196,0.0073
gpt55,OpenAI,egalitarian,b12,scope,Obligation Scope,0.5049,0.0265
gpt55,OpenAI,egalitarian,all48,moral_agent,Moral Agent,0.0158,0.016
gpt55,OpenAI,egalitarian,all48,authority,Authority,0.2007,0.0106
gpt55,OpenAI,egalitarian,all48,domain_boundary,Moral Domain,0.0384,0.01
gpt55,OpenAI,egalitarian,all48,scope,Obligation Scope,0.3351,0.0146
gpt55,OpenAI,hierarchical,b12,moral_agent,Moral Agent,-0.6049,0.0053
gpt55,OpenAI,hierarchical,b12,authority,Authority,-0.5403,0.0298
gpt55,OpenAI,hierarchical,b12,domain_boundary,Moral Domain,-0.6669,0.0166
gpt55,OpenAI,hierarchical,b12,scope,Obligation Scope,-0.279,0.0399
gpt55,OpenAI,hierarchical,all48,moral_agent,Moral Agent,-0.5711,0.0174
gpt55,OpenAI,hierarchical,all48,authority,Authority,-0.5158,0.0192
gpt55,OpenAI,hierarchical,all48,domain_boundary,Moral Domain,-0.5649,0.0099
gpt55,OpenAI,hierarchical,all48,scope,Obligation Scope,-0.2579,0.0202
gpt55,OpenAI,individualist,b12,moral_agent,Moral Agent,0.3602,0.0183
gpt55,OpenAI,individualist,b12,authority,Authority,0.3367,0.0312
gpt55,OpenAI,individualist,b12,domain_boundary,Moral Domain,0.5401,0.0173
gpt55,OpenAI,individualist,b12,scope,Obligation Scope,0.5288,0.0103
gpt55,OpenAI,individualist,all48,moral_agent,Moral Agent,0.3522,0.0198
gpt55,OpenAI,individualist,all48,authority,Authority,0.2509,0.0067
gpt55,OpenAI,individualist,all48,domain_boundary,Moral Domain,0.4178,0.0101
gpt55,OpenAI,individualist,all48,scope,Obligation Scope,0.2764,0.0102
gpt55,OpenAI,irrelevant,b12,moral_agent,Moral Agent,-0.3978,0.0267
gpt55,OpenAI,irrelevant,b12,authority,Authority,0.0553,0.0199
gpt55,OpenAI,irrelevant,b12,domain_boundary,Moral Domain,-0.4187,0.0177
gpt55,OpenAI,irrelevant,b12,scope,Obligation Scope,0.1482,0.0353
gpt55,OpenAI,irrelevant,all48,moral_agent,Moral Agent,-0.2992,0.0053
gpt55,OpenAI,irrelevant,all48,authority,Authority,-0.0067,0.0087
gpt55,OpenAI,irrelevant,all48,domain_boundary,Moral Domain,-0.3651,0.0061
gpt55,OpenAI,irrelevant,all48,scope,Obligation Scope,0.0784,0.0129
gpt55,OpenAI,neutral,b12,moral_agent,Moral Agent,-0.0792,0.0228
gpt55,OpenAI,neutral,b12,authority,Authority,0.177,0.0129
gpt55,OpenAI,neutral,b12,domain_boundary,Moral Domain,0.2993,0.0112
gpt55,OpenAI,neutral,b12,scope,Obligation Scope,0.3825,0.0277
gpt55,OpenAI,neutral,all48,moral_agent,Moral Agent,0.0056,0.0103
gpt55,OpenAI,neutral,all48,authority,Authority,0.1087,0.004
gpt55,OpenAI,neutral,all48,domain_boundary,Moral Domain,0.0231,0.0076
gpt55,OpenAI,neutral,all48,scope,Obligation Scope,0.2031,0.0128
gpt55,OpenAI,nonsense_color,b12,moral_agent,Moral Agent,-0.4183,0.0301
gpt55,OpenAI,nonsense_color,b12,authority,Authority,0.1213,0.0166
gpt55,OpenAI,nonsense_color,b12,domain_boundary,Moral Domain,-0.4205,0.0245
gpt55,OpenAI,nonsense_color,b12,scope,Obligation Scope,0.0918,0.0619
gpt55,OpenAI,nonsense_color,all48,moral_agent,Moral Agent,-0.2524,0.0185
gpt55,OpenAI,nonsense_color,all48,authority,Authority,0.026,0.0095
gpt55,OpenAI,nonsense_color,all48,domain_boundary,Moral Domain,-0.4357,0.0119
gpt55,OpenAI,nonsense_color,all48,scope,Obligation Scope,0.0887,0.0261
gpt55,OpenAI,nonsense_geometry,b12,moral_agent,Moral Agent,-0.4064,0.009
gpt55,OpenAI,nonsense_geometry,b12,authority,Authority,0.1187,0.024
gpt55,OpenAI,nonsense_geometry,b12,domain_boundary,Moral Domain,-0.4329,0.0342
gpt55,OpenAI,nonsense_geometry,b12,scope,Obligation Scope,0.0869,0.0658
gpt55,OpenAI,nonsense_geometry,all48,moral_agent,Moral Agent,-0.241,0.0109
gpt55,OpenAI,nonsense_geometry,all48,authority,Authority,0.0256,0.0129
gpt55,OpenAI,nonsense_geometry,all48,domain_boundary,Moral Domain,-0.4554,0.0176
gpt55,OpenAI,nonsense_geometry,all48,scope,Obligation Scope,0.109,0.02
grok45,xAI,collectivist,b12,moral_agent,Moral Agent,-0.7107,0.0284
grok45,xAI,collectivist,b12,authority,Authority,-0.5587,0.0327
grok45,xAI,collectivist,b12,domain_boundary,Moral Domain,-0.7144,0.0113
grok45,xAI,collectivist,b12,scope,Obligation Scope,-0.4329,0.0397
grok45,xAI,collectivist,all48,moral_agent,Moral Agent,-0.6457,0.0136
grok45,xAI,collectivist,all48,authority,Authority,-0.3326,0.0129
grok45,xAI,collectivist,all48,domain_boundary,Moral Domain,-0.6739,0.0119
grok45,xAI,collectivist,all48,scope,Obligation Scope,-0.3467,0.0389
grok45,xAI,egalitarian,b12,moral_agent,Moral Agent,0.1711,0.0321
grok45,xAI,egalitarian,b12,authority,Authority,0.2023,0.035
grok45,xAI,egalitarian,b12,domain_boundary,Moral Domain,0.5228,0.018
grok45,xAI,egalitarian,b12,scope,Obligation Scope,0.6642,0.0087
grok45,xAI,egalitarian,all48,moral_agent,Moral Agent,0.1987,0.0147
grok45,xAI,egalitarian,all48,authority,Authority,0.2392,0.0246
grok45,xAI,egalitarian,all48,domain_boundary,Moral Domain,0.1513,0.009
grok45,xAI,egalitarian,all48,scope,Obligation Scope,0.4337,0.01
grok45,xAI,hierarchical,b12,moral_agent,Moral Agent,-0.4103,0.0275
grok45,xAI,hierarchical,b12,authority,Authority,-0.806,0.0295
grok45,xAI,hierarchical,b12,domain_boundary,Moral Domain,-0.7446,0.0105
grok45,xAI,hierarchical,b12,scope,Obligation Scope,-0.4935,0.0658
grok45,xAI,hierarchical,all48,moral_agent,Moral Agent,-0.6437,0.0052
grok45,xAI,hierarchical,all48,authority,Authority,-0.6965,0.0109
grok45,xAI,hierarchical,all48,domain_boundary,Moral Domain,-0.4807,0.0368
grok45,xAI,hierarchical,all48,scope,Obligation Scope,-0.4388,0.0318
grok45,xAI,individualist,b12,moral_agent,Moral Agent,0.6001,0.0366
grok45,xAI,individualist,b12,authority,Authority,0.5667,0.0349
grok45,xAI,individualist,b12,domain_boundary,Moral Domain,0.6909,0.0144
grok45,xAI,individualist,b12,scope,Obligation Scope,0.5217,0.1221
grok45,xAI,individualist,all48,moral_agent,Moral Agent,0.6112,0.0098
grok45,xAI,individualist,all48,authority,Authority,0.4712,0.0181
grok45,xAI,individualist,all48,domain_boundary,Moral Domain,0.6505,0.0208
grok45,xAI,individualist,all48,scope,Obligation Scope,0.0743,0.0379
grok45,xAI,irrelevant,b12,moral_agent,Moral Agent,-0.3652,0.06
grok45,xAI,irrelevant,b12,authority,Authority,-0.198,0.0274
grok45,xAI,irrelevant,b12,domain_boundary,Moral Domain,-0.5537,0.0226
grok45,xAI,irrelevant,b12,scope,Obligation Scope,0.4525,0.107
grok45,xAI,irrelevant,all48,moral_agent,Moral Agent,-0.4338,0.0311
grok45,xAI,irrelevant,all48,authority,Authority,-0.1077,0.0273
grok45,xAI,irrelevant,all48,domain_boundary,Moral Domain,-0.4185,0.0388
grok45,xAI,irrelevant,all48,scope,Obligation Scope,0.0514,0.0285
grok45,xAI,neutral,b12,moral_agent,Moral Agent,-0.0056,0.0218
grok45,xAI,neutral,b12,authority,Authority,0.0587,0.0209
grok45,xAI,neutral,b12,domain_boundary,Moral Domain,0.4156,0.011
grok45,xAI,neutral,b12,scope,Obligation Scope,0.3555,0.0397
grok45,xAI,neutral,all48,moral_agent,Moral Agent,0.0416,0.0111
grok45,xAI,neutral,all48,authority,Authority,0.0503,0.0104
grok45,xAI,neutral,all48,domain_boundary,Moral Domain,0.1057,0.0194
grok45,xAI,neutral,all48,scope,Obligation Scope,0.1536,0.0107
grok45,xAI,nonsense_color,b12,moral_agent,Moral Agent,-0.3827,0.0671
grok45,xAI,nonsense_color,b12,authority,Authority,-0.102,0.0766
grok45,xAI,nonsense_color,b12,domain_boundary,Moral Domain,-0.6059,0.0739
grok45,xAI,nonsense_color,b12,scope,Obligation Scope,0.2019,0.0744
grok45,xAI,nonsense_color,all48,moral_agent,Moral Agent,-0.3059,0.0528
grok45,xAI,nonsense_color,all48,authority,Authority,-0.0757,0.0195
grok45,xAI,nonsense_color,all48,domain_boundary,Moral Domain,-0.5776,0.0584
grok45,xAI,nonsense_color,all48,scope,Obligation Scope,-0.0401,0.0531
grok45,xAI,nonsense_geometry,b12,moral_agent,Moral Agent,-0.4939,0.0619
grok45,xAI,nonsense_geometry,b12,authority,Authority,-0.283,0.1106
grok45,xAI,nonsense_geometry,b12,domain_boundary,Moral Domain,-0.2783,0.1734
grok45,xAI,nonsense_geometry,b12,scope,Obligation Scope,0.3665,0.0988
grok45,xAI,nonsense_geometry,all48,moral_agent,Moral Agent,-0.3332,0.0105
grok45,xAI,nonsense_geometry,all48,authority,Authority,-0.1867,0.0863
grok45,xAI,nonsense_geometry,all48,domain_boundary,Moral Domain,-0.5466,0.0381
grok45,xAI,nonsense_geometry,all48,scope,Obligation Scope,0.1364,0.035
inkling,ThinkingMachines,collectivist,b12,moral_agent,Moral Agent,-0.8027,0.0163
inkling,ThinkingMachines,collectivist,b12,authority,Authority,-0.488,0.026
inkling,ThinkingMachines,collectivist,b12,domain_boundary,Moral Domain,-0.8748,0.0179
inkling,ThinkingMachines,collectivist,b12,scope,Obligation Scope,-0.6399,0.0423
inkling,ThinkingMachines,collectivist,all48,moral_agent,Moral Agent,-0.7763,0.0122
inkling,ThinkingMachines,collectivist,all48,authority,Authority,-0.3223,0.02
inkling,ThinkingMachines,collectivist,all48,domain_boundary,Moral Domain,-0.857,0.0085
inkling,ThinkingMachines,collectivist,all48,scope,Obligation Scope,-0.276,0.0136
inkling,ThinkingMachines,egalitarian,b12,moral_agent,Moral Agent,0.3821,0.0986
inkling,ThinkingMachines,egalitarian,b12,authority,Authority,0.3788,0.1912
inkling,ThinkingMachines,egalitarian,b12,domain_boundary,Moral Domain,0.4396,0.0374
inkling,ThinkingMachines,egalitarian,b12,scope,Obligation Scope,0.7329,0.036
inkling,ThinkingMachines,egalitarian,all48,moral_agent,Moral Agent,0.2378,0.0277
inkling,ThinkingMachines,egalitarian,all48,authority,Authority,0.3376,0.0355
inkling,ThinkingMachines,egalitarian,all48,domain_boundary,Moral Domain,0.0909,0.0111
inkling,ThinkingMachines,egalitarian,all48,scope,Obligation Scope,0.5294,0.0196
inkling,ThinkingMachines,hierarchical,b12,moral_agent,Moral Agent,-0.7579,0.0682
inkling,ThinkingMachines,hierarchical,b12,authority,Authority,-0.8597,0.0139
inkling,ThinkingMachines,hierarchical,b12,domain_boundary,Moral Domain,-0.9026,0.0148
inkling,ThinkingMachines,hierarchical,b12,scope,Obligation Scope,-0.1346,0.0665
inkling,ThinkingMachines,hierarchical,all48,moral_agent,Moral Agent,-0.799,0.0143
inkling,ThinkingMachines,hierarchical,all48,authority,Authority,-0.726,0.0225
inkling,ThinkingMachines,hierarchical,all48,domain_boundary,Moral Domain,-0.7225,0.0143
inkling,ThinkingMachines,hierarchical,all48,scope,Obligation Scope,-0.2773,0.0406
inkling,ThinkingMachines,individualist,b12,moral_agent,Moral Agent,0.6963,0.0324
inkling,ThinkingMachines,individualist,b12,authority,Authority,0.6589,0.0164
inkling,ThinkingMachines,individualist,b12,domain_boundary,Moral Domain,0.7169,0.0361
inkling,ThinkingMachines,individualist,b12,scope,Obligation Scope,0.6367,0.1069
inkling,ThinkingMachines,individualist,all48,moral_agent,Moral Agent,0.648,0.0125
inkling,ThinkingMachines,individualist,all48,authority,Authority,0.5327,0.0199
inkling,ThinkingMachines,individualist,all48,domain_boundary,Moral Domain,0.697,0.0159
inkling,ThinkingMachines,individualist,all48,scope,Obligation Scope,0.1424,0.0525
inkling,ThinkingMachines,irrelevant,b12,moral_agent,Moral Agent,-0.4303,0.0848
inkling,ThinkingMachines,irrelevant,b12,authority,Authority,-0.1013,0.0449
inkling,ThinkingMachines,irrelevant,b12,domain_boundary,Moral Domain,-0.5605,0.0963
inkling,ThinkingMachines,irrelevant,b12,scope,Obligation Scope,0.1668,0.017
inkling,ThinkingMachines,irrelevant,all48,moral_agent,Moral Agent,-0.516,0.029
inkling,ThinkingMachines,irrelevant,all48,authority,Authority,-0.0602,0.0134
inkling,ThinkingMachines,irrelevant,all48,domain_boundary,Moral Domain,-0.5134,0.0334
inkling,ThinkingMachines,irrelevant,all48,scope,Obligation Scope,-0.0888,0.0508
inkling,ThinkingMachines,neutral,b12,moral_agent,Moral Agent,0.0676,0.0351
inkling,ThinkingMachines,neutral,b12,authority,Authority,0.1021,0.0176
inkling,ThinkingMachines,neutral,b12,domain_boundary,Moral Domain,0.3212,0.035
inkling,ThinkingMachines,neutral,b12,scope,Obligation Scope,0.2959,0.0281
inkling,ThinkingMachines,neutral,all48,moral_agent,Moral Agent,0.0437,0.0147
inkling,ThinkingMachines,neutral,all48,authority,Authority,0.0602,0.0077
inkling,ThinkingMachines,neutral,all48,domain_boundary,Moral Domain,-0.052,0.0257
inkling,ThinkingMachines,neutral,all48,scope,Obligation Scope,0.1658,0.0146
inkling,ThinkingMachines,nonsense_color,b12,moral_agent,Moral Agent,-0.7022,0.0587
inkling,ThinkingMachines,nonsense_color,b12,authority,Authority,0.075,0.0442
inkling,ThinkingMachines,nonsense_color,b12,domain_boundary,Moral Domain,-0.7315,0.0414
inkling,ThinkingMachines,nonsense_color,b12,scope,Obligation Scope,-0.1979,0.0438
inkling,ThinkingMachines,nonsense_color,all48,moral_agent,Moral Agent,-0.4496,0.0306
inkling,ThinkingMachines,nonsense_color,all48,authority,Authority,0.0421,0.0073
inkling,ThinkingMachines,nonsense_color,all48,domain_boundary,Moral Domain,-0.6598,0.014
inkling,ThinkingMachines,nonsense_color,all48,scope,Obligation Scope,-0.0894,0.0641
inkling,ThinkingMachines,nonsense_geometry,b12,moral_agent,Moral Agent,-0.619,0.0561
