country,n,binding_mean,binding_sd,care_sd,equality_sd,proportionality_sd,loyalty_sd,authority_sd,purity_sd
Argentina,205,3.2835,0.6616,0.7738,1.0113,0.6565,0.8173,0.7257,0.8168
Belgium,205,3.4439,0.5766,0.728,0.9364,0.5565,0.7728,0.6361,0.7425
Chile,205,3.2201,0.7404,0.8241,0.88,0.694,0.8813,0.8113,0.8512
Columbia,205,3.4967,0.6656,0.7051,0.9012,0.684,0.8217,0.6811,0.8598
Egypt,205,4.2669,0.5746,0.6028,0.9389,0.5802,0.6207,0.6803,0.6302
France,206,3.6098,0.5546,0.6757,0.9214,0.5417,0.7368,0.6225,0.7374
Ireland,205,3.0959,0.816,0.7909,0.9338,0.7672,0.9833,0.9142,0.9256
Japan,207,2.6522,0.6395,0.7676,0.7796,0.7338,0.8183,0.6605,0.6917
Kenya,205,3.8672,0.7457,0.7668,0.9695,0.7886,0.8993,0.8034,0.8341
Mexico,206,3.5121,0.6203,0.7853,0.9072,0.6968,0.7464,0.6697,0.8143
Morocco,205,4.0141,0.7021,0.7847,0.9693,0.7054,0.823,0.764,0.7326
New Zealand,205,3.0943,0.8389,0.7826,1.0227,0.7128,0.9975,0.8706,0.9793
Nigeria,205,4.0385,0.6095,0.6386,1.028,0.6749,0.7443,0.6145,0.7691
Peru,205,3.5141,0.6444,0.7251,0.924,0.6911,0.7636,0.6926,0.8202
Russia,206,3.5987,0.6976,0.7486,0.8726,0.4807,0.8099,0.7589,0.8024
Saudi Arabia,207,4.0835,0.6515,0.7528,0.9332,0.693,0.7807,0.7316,0.7157
South Africa,205,3.7488,0.7362,0.6889,0.9209,0.64,0.8615,0.7345,0.9395
Switzerland,205,3.3485,0.7095,0.678,0.9801,0.6409,0.8485,0.8053,0.7891
UAE,205,3.8916,0.8226,0.9186,0.9317,0.8897,0.9107,0.8883,0.848
