country,n,care,equality,proportionality,loyalty,authority,purity,care_se,equality_se,proportionality_se,loyalty_se,authority_se,purity_se
Argentina,205,3.8382,2.8073,3.9146,3.5821,3.6715,2.5967,0.054,0.0706,0.0459,0.0571,0.0507,0.057
Belgium,205,3.9073,3.1951,3.9065,3.622,3.7041,3.0057,0.0508,0.0654,0.0389,0.054,0.0444,0.0519
Chile,205,3.7724,2.7748,3.6984,3.4488,3.6683,2.5431,0.0576,0.0615,0.0485,0.0616,0.0567,0.0595
Columbia,205,3.8309,2.9114,3.6911,3.6707,3.839,2.9805,0.0492,0.0629,0.0478,0.0574,0.0476,0.0601
Egypt,205,4.3821,3.5618,4.3715,4.4228,4.1837,4.1943,0.0421,0.0656,0.0405,0.0433,0.0475,0.044
France,206,4.0809,3.233,4.1197,3.8584,3.8803,3.0906,0.0471,0.0642,0.0377,0.0513,0.0434,0.0514
Ireland,205,4.0065,2.9366,3.7317,3.2878,3.4919,2.5081,0.0552,0.0652,0.0536,0.0687,0.0638,0.0646
Japan,207,3.0306,2.2689,3.1353,2.6586,2.6691,2.6288,0.0533,0.0542,0.051,0.0569,0.0459,0.0481
Kenya,205,4.2049,2.8821,3.7837,3.9463,4.0707,3.5846,0.0536,0.0677,0.0551,0.0628,0.0561,0.0583
Mexico,206,3.767,2.873,3.8026,3.7783,3.9442,2.8139,0.0547,0.0632,0.0485,0.052,0.0467,0.0567
Morocco,205,4.2073,3.3626,4.1772,4.1626,3.9463,3.9333,0.0548,0.0677,0.0493,0.0575,0.0534,0.0512
New Zealand,205,3.8415,2.6065,3.6114,3.2179,3.4829,2.5821,0.0547,0.0714,0.0498,0.0697,0.0608,0.0684
Nigeria,205,4.3179,2.8984,4.1423,4.1138,4.2065,3.7951,0.0446,0.0718,0.0471,0.052,0.0429,0.0537
Peru,205,3.6203,2.6309,3.7504,3.7293,3.8138,2.9992,0.0506,0.0645,0.0483,0.0533,0.0484,0.0573
Russia,206,3.9571,3.2427,4.2662,3.8697,3.6812,3.2451,0.0522,0.0608,0.0335,0.0564,0.0529,0.0559
Saudi Arabia,207,4.2367,3.3156,4.1779,4.1965,4.0749,3.9791,0.0523,0.0649,0.0482,0.0543,0.0508,0.0497
South Africa,205,4.2098,3.0146,4.0293,3.8545,3.9967,3.3951,0.0481,0.0643,0.0447,0.0602,0.0513,0.0656
Switzerland,205,3.9472,3.2691,3.8439,3.5756,3.5187,2.9512,0.0474,0.0685,0.0448,0.0593,0.0562,0.0551
UAE,205,4.0081,3.2789,3.9593,4.0211,3.913,3.7407,0.0642,0.0651,0.0621,0.0636,0.062,0.0592
