condition,model,iteration,instrument,seed,item_id,position,rating
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,loyalty_2,1,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,proportionality_3,2,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,equality_1,3,2
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,equality_6,4,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,equality_2,5,3
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,purity_2,6,3
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,care_4,7,5
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,loyalty_6,8,5
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,purity_1,9,3
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,equality_5,10,3
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,proportionality_6,11,5
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,purity_6,12,2
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,loyalty_3,13,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,care_3,14,5
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,care_1,15,5
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,authority_4,16,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,proportionality_2,17,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,authority_2,18,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,loyalty_1,19,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,proportionality_4,20,5
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,care_5,21,5
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,purity_5,22,3
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,equality_3,23,2
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,care_6,24,5
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,purity_3,25,2
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,equality_4,26,2
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,authority_3,27,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,authority_6,28,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,care_2,29,5
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,loyalty_4,30,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,authority_1,31,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,loyalty_5,32,5
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,proportionality_5,33,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,authority_5,34,4
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,purity_4,35,3
EN_framed_Argentina,deepseek_v4,1,mfq2,20260722,proportionality_1,36,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,care_6,1,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,purity_3,2,2
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,purity_6,3,3
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,loyalty_2,4,3
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,loyalty_4,5,3
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,authority_3,6,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,care_5,7,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,proportionality_2,8,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,equality_4,9,2
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,proportionality_3,10,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,equality_5,11,3
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,care_3,12,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,proportionality_1,13,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,loyalty_3,14,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,purity_4,15,3
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,care_4,16,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,equality_3,17,2
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,purity_5,18,3
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,authority_5,19,3
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,loyalty_1,20,3
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,purity_2,21,3
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,authority_2,22,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,proportionality_5,23,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,care_1,24,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,purity_1,25,3
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,loyalty_6,26,5
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,care_2,27,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,authority_1,28,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,equality_6,29,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,equality_1,30,2
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,loyalty_5,31,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,equality_2,32,2
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,proportionality_6,33,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,proportionality_4,34,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,authority_4,35,4
EN_framed_Argentina,deepseek_v4,2,mfq2,20260723,authority_6,36,3
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,loyalty_6,1,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,equality_2,2,3
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,purity_5,3,3
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,equality_6,4,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,loyalty_1,5,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,loyalty_5,6,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,proportionality_4,7,3
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,care_6,8,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,authority_4,9,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,loyalty_3,10,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,authority_2,11,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,care_3,12,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,equality_3,13,3
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,care_4,14,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,proportionality_6,15,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,proportionality_1,16,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,care_2,17,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,loyalty_2,18,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,care_1,19,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,equality_1,20,2
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,proportionality_3,21,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,equality_5,22,2
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,purity_6,23,3
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,authority_3,24,3
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,purity_1,25,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,proportionality_5,26,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,authority_5,27,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,purity_3,28,2
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,equality_4,29,2
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,care_5,30,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,authority_1,31,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,proportionality_2,32,4
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,purity_4,33,3
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,purity_2,34,3
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,authority_6,35,3
EN_framed_Argentina,deepseek_v4,3,mfq2,20260724,loyalty_4,36,4
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,proportionality_3,1,5
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,proportionality_6,2,5
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,equality_2,3,2
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,purity_3,4,3
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,purity_6,5,3
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,authority_6,6,3
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,proportionality_5,7,4
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,equality_4,8,2
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,care_3,9,5
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,care_5,10,5
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,proportionality_2,11,4
EN_framed_Argentina,deepseek_v4,4,mfq2,20260725,proportionality_4,12,5
